comment,comment_target
the compound effectkamikaze effectiveness needs to be used now to target the kremlinonly one thing will quickly change the makeup of this war and that is the removal of putin what ever it takes this must be done now there must be the constant thought on putins mind that at any moment he will be assassinated from with in or from outside his spherespherethank you to all our brave ukrainian warriors kamikaze effectiveness must start nowtoday,"russia, ukraine"
spotted some inaccuracies in this news and thats not good,unknown
think that is because of russian rocket theyve send up while ago,russia
go go go russia,russia
104 bankers use gps to steal money,unknown
russia cannot jam the small hundreds of satellites orbiting the earth and providing communications to the ukrainians they also direct the unmanned drones and targeting quite amazing sm,"russia, ukraine"
star wars,unknown
eliminate dictator putin this man must disappear from the face of the earth,russia
jam back,unknown
no budget increase for pentagon they get too much already,unknown
no wonder a us general involved in the training the ukr forces has been reported to have been caught by the russians while trying to fly out of mariopol in ukraine,"russia, ukraine"
trumps gops buddy putinwhat a genius,russia
then lets give the ukrainians some emp bombs to use on their equipment at the border,ukraine
judging from the amount of destroyed russian tanks by dronesapparently putins army is doing a lousy jamming,russia
gps satellite could be next war targets,unknown
are the american people not informed about americas crime of brutally killing innocent people in iran iraq syria vietnam and other american crimes as well as serious human rights violators and all countries in the world already know this it is appropriate that america and its nato allies should be attacked america is a smart country in lying fighting twisting facts instigating slaughtering humans hobby of talking here and there hobby of inviting other countries to colonize and attack other countries sabotage propaganda evil intelligence activities for the sake of getting money selling weapons of war a thief albeit indirectly looking for a name above the suffering of others and feel no guilt at all and even distort the actual facts dont you dare go to war one on one you dont have to invite allies,unknown
